iter	Passed	Remaining
0	77	46305
1	80	23973
2	83	16575
3	86	12860
4	89	10640
5	97	9673
6	106	9060
7	116	8617
8	123	8114
9	130	7723
10	138	7402
11	147	7239
12	156	7080
13	164	6896
14	169	6608
15	172	6290
16	175	6001
17	177	5743
18	180	5509
19	182	5301
20	185	5115
21	188	4945
22	190	4791
23	193	4645
24	196	4515
25	198	4393
26	201	4281
27	204	4176
28	207	4079
29	209	3986
30	212	3898
31	215	3818
32	217	3743
33	220	3671
34	223	3601
35	225	3537
36	228	3476
37	231	3416
38	233	3361
39	236	3308
40	238	3256
41	241	3209
42	244	3164
43	247	3121
44	250	3084
45	252	3045
46	255	3004
47	258	2967
48	260	2931
49	263	2896
50	266	2865
51	268	2833
52	271	2802
53	274	2772
54	276	2742
55	279	2713
56	281	2685
57	284	2658
58	287	2632
59	289	2608
60	292	2583
61	294	2559
62	297	2536
63	300	2514
64	302	2493
65	305	2472
66	308	2452
67	310	2433
68	313	2413
69	316	2394
70	318	2376
71	321	2356
72	324	2339
73	326	2322
74	329	2304
75	331	2288
76	334	2272
77	337	2256
78	339	2241
79	342	2226
80	345	2212
81	347	2197
82	350	2183
83	353	2169
84	355	2155
85	358	2141
86	360	2127
87	363	2114
88	365	2101
89	368	2088
90	371	2076
91	373	2065
92	376	2052
93	379	2041
94	381	2029
95	384	2018
96	387	2007
97	389	1996
98	392	1985
99	394	1974
100	397	1963
101	400	1953
102	402	1942
103	405	1933
104	407	1923
105	410	1913
106	413	1903
107	415	1894
108	418	1885
109	421	1876
110	423	1867
111	426	1857
112	429	1848
113	431	1840
114	434	1832
115	437	1824
116	439	1816
117	442	1807
118	445	1799
119	447	1791
120	450	1784
121	453	1776
122	455	1767
123	458	1759
124	460	1750
125	463	1744
126	466	1735
127	468	1727
128	471	1719
129	473	1711
130	476	1704
131	478	1697
132	481	1689
133	483	1682
134	486	1675
135	488	1667
136	491	1660
137	493	1653
138	496	1646
139	498	1639
140	501	1632
141	503	1625
142	506	1618
143	508	1611
144	511	1604
145	513	1597
146	516	1590
147	518	1583
148	520	1576
149	523	1569
150	525	1562
151	528	1556
152	530	1549
153	532	1543
154	535	1537
155	537	1530
156	540	1523
157	542	1517
158	544	1511
159	547	1505
160	549	1498
161	552	1493
162	554	1487
163	557	1481
164	559	1475
165	562	1469
166	564	1463
167	566	1457
168	569	1452
169	571	1446
170	574	1440
171	576	1434
172	578	1428
173	581	1422
174	583	1417
175	586	1412
176	588	1406
177	590	1400
178	593	1395
179	595	1389
180	597	1384
181	600	1378
182	602	1373
183	605	1368
184	607	1363
185	610	1357
186	612	1352
187	615	1347
188	617	1342
189	619	1337
190	622	1332
191	624	1326
192	626	1321
193	629	1317
194	631	1311
195	634	1307
196	636	1302
197	639	1297
198	641	1292
199	643	1287
200	646	1282
201	648	1278
202	651	1273
203	653	1268
204	655	1263
205	658	1259
206	660	1254
207	663	1250
208	665	1245
209	668	1240
210	670	1236
211	673	1231
212	675	1227
213	677	1222
214	680	1218
215	682	1213
216	685	1209
217	687	1204
218	689	1200
219	692	1195
220	694	1191
221	697	1186
222	699	1182
223	701	1177
224	704	1173
225	706	1169
226	709	1165
227	711	1160
228	713	1156
229	716	1152
230	718	1147
231	720	1143
232	723	1139
233	725	1134
234	727	1130
235	730	1126
236	732	1122
237	735	1118
238	737	1113
239	739	1109
240	742	1105
241	744	1101
242	747	1097
243	749	1093
244	752	1089
245	754	1085
246	757	1082
247	759	1078
248	761	1074
249	764	1070
250	766	1066
251	769	1062
252	771	1058
253	774	1054
254	776	1050
255	779	1047
256	781	1043
257	783	1039
258	786	1035
259	788	1031
260	791	1027
261	793	1023
262	795	1019
263	798	1015
264	800	1011
265	802	1007
266	805	1004
267	807	1000
268	810	996
269	812	993
270	814	989
271	817	985
272	819	981
273	822	978
274	824	974
275	826	970
276	829	966
277	831	963
278	833	959
279	836	955
280	838	952
281	841	948
282	843	945
283	846	941
284	848	937
285	850	934
286	853	930
287	855	926
288	857	923
289	860	919
290	862	915
291	864	912
292	867	908
293	869	905
294	872	901
295	874	898
296	876	894
297	879	891
298	881	887
299	884	884
300	886	880
301	888	876
302	891	873
303	893	870
304	896	866
305	898	863
306	901	860
307	903	856
308	906	853
309	908	849
310	910	846
311	913	843
312	915	839
313	917	836
314	920	832
315	922	829
316	925	826
317	927	822
318	930	819
319	932	815
320	934	812
321	937	809
322	939	805
323	942	802
324	944	799
325	946	795
326	949	792
327	951	789
328	954	785
329	956	782
330	958	779
331	961	775
332	963	772
333	966	769
334	968	766
335	971	762
336	973	759
337	975	756
338	978	753
339	980	749
340	983	746
341	985	743
342	988	740
343	990	737
344	993	734
345	995	730
346	997	727
347	1000	724
348	1002	721
349	1005	717
350	1007	714
351	1009	711
352	1012	708
353	1014	705
354	1017	702
355	1019	698
356	1022	695
357	1024	692
358	1026	689
359	1029	686
360	1032	683
361	1034	680
362	1036	676
363	1039	673
364	1041	670
365	1044	667
366	1046	664
367	1048	661
368	1051	658
369	1053	654
370	1055	651
371	1057	648
372	1060	645
373	1062	642
374	1064	638
375	1067	635
376	1069	632
377	1072	629
378	1074	626
379	1076	623
380	1079	620
381	1081	617
382	1083	614
383	1086	611
384	1088	607
385	1090	604
386	1093	601
387	1095	598
388	1098	595
389	1100	592
390	1102	589
391	1105	586
392	1107	583
393	1110	580
394	1112	577
395	1114	574
396	1117	571
397	1119	568
398	1122	565
399	1124	562
400	1126	559
401	1129	556
402	1131	553
403	1134	550
404	1136	547
405	1138	544
406	1141	541
407	1143	538
408	1146	535
409	1148	532
410	1150	529
411	1153	526
412	1155	523
413	1157	520
414	1160	517
415	1163	514
416	1165	511
417	1168	508
418	1170	505
419	1172	502
420	1175	499
421	1177	496
422	1180	493
423	1182	490
424	1185	487
425	1187	485
426	1189	482
427	1192	479
428	1194	476
429	1197	473
430	1199	470
431	1202	467
432	1204	464
433	1207	461
434	1209	458
435	1211	455
436	1214	452
437	1216	450
438	1219	447
439	1221	444
440	1223	441
441	1226	438
442	1228	435
443	1230	432
444	1233	429
445	1235	426
446	1238	423
447	1240	420
448	1242	417
449	1245	415
450	1247	412
451	1250	409
452	1252	406
453	1255	403
454	1257	400
455	1259	397
456	1262	394
457	1264	392
458	1267	389
459	1269	386
460	1271	383
461	1274	380
462	1276	377
463	1279	374
464	1281	372
465	1284	369
466	1286	366
467	1288	363
468	1290	360
469	1293	357
470	1295	354
471	1298	352
472	1300	349
473	1302	346
474	1304	343
475	1307	340
476	1309	337
477	1311	334
478	1314	332
479	1316	329
480	1319	326
481	1321	323
482	1324	320
483	1326	317
484	1328	315
485	1331	312
486	1333	309
487	1335	306
488	1338	303
489	1340	300
490	1343	298
491	1345	295
492	1347	292
493	1349	289
494	1352	286
495	1354	284
496	1356	281
497	1359	278
