column,dtype_x,n_unique,n_missing_x,pct_missing_x,example,dtype_y,n_missing_y,pct_missing_y
aptt,float64,330,176,11.062225015713388,25.6,float64,176.0,11.062225015713388
inr,float64,39,158,9.93086109365179,1.5,float64,158.0,9.93086109365179
pt,float64,204,158,9.93086109365179,16.7,float64,158.0,9.93086109365179
calcium,float64,64,68,4.274041483343809,10.1,float64,68.0,4.274041483343809
temperature,float64,107,35,2.1998742928975488,36.72,float64,35.0,2.1998742928975488
glucose,float64,215,20,1.257071024512885,124.0,float64,20.0,1.2570710245128849
wbc,float64,282,19,1.1942174732872406,23.7,float64,19.0,1.1942174732872408
sodium,float64,43,18,1.1313639220615963,135.0,float64,18.0,1.1313639220615963
aniongap,float64,27,17,1.0685103708359522,12.0,float64,17.0,1.0685103708359522
bicarbonate,float64,38,17,1.0685103708359522,20.0,float64,17.0,1.0685103708359522
bun,float64,106,17,1.0685103708359522,35.0,float64,17.0,1.0685103708359522
chloride,float64,48,17,1.0685103708359522,99.0,float64,17.0,1.0685103708359522
platelets,float64,413,17,1.0685103708359522,288.0,float64,17.0,1.0685103708359522
potassium,float64,42,17,1.0685103708359522,4.7,float64,17.0,1.0685103708359522
creatinine,float64,67,16,1.005656819610308,2.3,float64,16.0,1.005656819610308
hematocrit,float64,295,15,0.9428032683846636,35.2,float64,15.0,0.9428032683846638
hemoglobin,float64,118,15,0.9428032683846636,11.0,float64,15.0,0.9428032683846638
dbp,float64,82,11,0.6913890634820867,6.0,,,
sbp,float64,117,11,0.6913890634820867,80.0,float64,11.0,0.6913890634820867
spo2,float64,50,6,0.3771213073538655,94.0,float64,6.0,0.3771213073538655
heart_rate,float64,99,5,0.3142677561282213,104.0,float64,5.0,0.3142677561282212
age,float64,1360,0,0.0,67.80285240105647,float64,0.0,0.0
aids,int64,2,0,0.0,0.0,int64,0.0,0.0
cerebrovascular_disease,int64,2,0,0.0,0.0,int64,0.0,0.0
chronic_pulmonary_disease,int64,2,0,0.0,0.0,int64,0.0,0.0
dementia,int64,2,0,0.0,0.0,int64,0.0,0.0
diabetes,int64,2,0,0.0,0.0,int64,0.0,0.0
gender,int64,2,0,0.0,0.0,,,
heart_failure,int64,2,0,0.0,1.0,int64,0.0,0.0
malignant_cancer,int64,2,0,0.0,1.0,int64,0.0,0.0
metastatic_solid_tumor,int64,2,0,0.0,0.0,int64,0.0,0.0
mild_liver_disease,int64,2,0,0.0,1.0,int64,0.0,0.0
mor_hospital,int64,2,0,0.0,1.0,int64,0.0,0.0
myocardial_infarct,int64,2,0,0.0,0.0,int64,0.0,0.0
paraplegia,int64,2,0,0.0,0.0,int64,0.0,0.0
peptic_ulcer_disease,int64,2,0,0.0,1.0,int64,0.0,0.0
peripheral_vascular,int64,2,0,0.0,0.0,int64,0.0,0.0
renal_disease,int64,2,0,0.0,1.0,int64,0.0,0.0
rheumatic_disease,int64,2,0,0.0,0.0,int64,0.0,0.0
severe_liver_disease,int64,2,0,0.0,0.0,int64,0.0,0.0
