thr,sensitivity,specificity,precision,npv,accuracy,f1,brier,tp,fp,tn,fn
0.01,0.9611650485436893,0.14133333333333334,0.23515439429928742,0.9298245614035088,0.3179916317991632,0.3778625954198473,0.14716036798888504,99,322,53,4
0.02,0.9611650485436893,0.21866666666666668,0.25255102040816324,0.9534883720930233,0.3786610878661088,0.4,0.14716036798888504,99,293,82,4
0.03,0.9514563106796117,0.24,0.2558746736292428,0.9473684210526315,0.39330543933054396,0.40329218106995884,0.14716036798888504,98,285,90,5
0.04,0.941747572815534,0.26666666666666666,0.260752688172043,0.9433962264150944,0.4121338912133891,0.4084210526315789,0.14716036798888504,97,275,100,6
0.05,0.941747572815534,0.2826666666666667,0.2650273224043716,0.9464285714285714,0.4246861924686193,0.41364605543710026,0.14716036798888504,97,269,106,6
0.060000000000000005,0.9320388349514563,0.30933333333333335,0.2704225352112676,0.943089430894309,0.4435146443514644,0.4192139737991265,0.14716036798888504,96,259,116,7
0.06999999999999999,0.9223300970873787,0.3253333333333333,0.27298850574712646,0.9384615384615385,0.45397489539748953,0.4212860310421287,0.14716036798888504,95,253,122,8
0.08,0.9223300970873787,0.3333333333333333,0.2753623188405797,0.9398496240601504,0.4602510460251046,0.42410714285714285,0.14716036798888504,95,250,125,8
0.09,0.912621359223301,0.368,0.283987915407855,0.9387755102040817,0.48535564853556484,0.43317972350230416,0.14716036798888504,94,237,138,9
0.09999999999999999,0.9029126213592233,0.4186666666666667,0.2990353697749196,0.9401197604790419,0.5230125523012552,0.4492753623188406,0.14716036798888504,93,218,157,10
0.11,0.883495145631068,0.4533333333333333,0.30743243243243246,0.9340659340659341,0.5460251046025104,0.456140350877193,0.14716036798888504,91,205,170,12
0.12,0.8737864077669902,0.47733333333333333,0.3146853146853147,0.9322916666666666,0.5627615062761506,0.4627249357326478,0.14716036798888504,90,196,179,13
0.13,0.8543689320388349,0.49333333333333335,0.31654676258992803,0.925,0.5711297071129707,0.4619422572178477,0.14716036798888504,88,190,185,15
0.14,0.8155339805825242,0.5253333333333333,0.32061068702290074,0.9120370370370371,0.5878661087866108,0.46027397260273967,0.14716036798888504,84,178,197,19
0.15000000000000002,0.7669902912621359,0.576,0.3319327731092437,0.9,0.6171548117154811,0.46334310850439875,0.14716036798888504,79,159,216,24
0.16,0.7378640776699029,0.6026666666666667,0.3377777777777778,0.8932806324110671,0.6317991631799164,0.46341463414634143,0.14716036798888504,76,149,226,27
0.17,0.7281553398058253,0.6133333333333333,0.3409090909090909,0.8914728682170543,0.6380753138075314,0.46439628482972134,0.14716036798888504,75,145,230,28
0.18000000000000002,0.7087378640776699,0.6186666666666667,0.33796296296296297,0.8854961832061069,0.6380753138075314,0.4576802507836991,0.14716036798888504,73,143,232,30
0.19,0.6990291262135923,0.632,0.34285714285714286,0.8843283582089553,0.6464435146443515,0.4600638977635783,0.14716036798888504,72,138,237,31
0.2,0.6990291262135923,0.6426666666666667,0.34951456310679613,0.8860294117647058,0.6548117154811716,0.46601941747572817,0.14716036798888504,72,134,241,31
0.21000000000000002,0.6990291262135923,0.6506666666666666,0.35467980295566504,0.8872727272727273,0.6610878661087866,0.4705882352941176,0.14716036798888504,72,131,244,31
0.22,0.6990291262135923,0.6666666666666666,0.36548223350253806,0.8896797153024911,0.6736401673640168,0.48,0.14716036798888504,72,125,250,31
0.23,0.6990291262135923,0.6906666666666667,0.3829787234042553,0.8931034482758621,0.6924686192468619,0.4948453608247423,0.14716036798888504,72,116,259,31
